,大学名,学部,大学詳細ページ,偏差値,倍率情報,合格体験記,入試日程
0,東京大学,文科一類,http://www.toshin-daigaku.com/detail_lecture.php?id=019,70,https://www.toshin.com/examinee/detail.php?id=19,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%9D%B1%E4%BA%AC%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=東京大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
1,東京大学,文科二類,http://www.toshin-daigaku.com/detail_lecture.php?id=019,70,https://www.toshin.com/examinee/detail.php?id=19,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%9D%B1%E4%BA%AC%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=東京大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
2,東京大学,文科三類,http://www.toshin-daigaku.com/detail_lecture.php?id=019,70,https://www.toshin.com/examinee/detail.php?id=19,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%9D%B1%E4%BA%AC%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=東京大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
3,京都大学,教育/教育科学(文系),http://www.toshin-daigaku.com/detail_lecture.php?id=042,69,https://www.toshin.com/examinee/detail.php?id=42,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%BA%AC%E9%83%BD%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=京都&univ_name=京都大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
4,京都大学,経済/経済経営(文系),http://www.toshin-daigaku.com/detail_lecture.php?id=042,69,https://www.toshin.com/examinee/detail.php?id=42,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%BA%AC%E9%83%BD%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=京都&univ_name=京都大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
5,京都大学,文/人文,http://www.toshin-daigaku.com/detail_lecture.php?id=042,69,https://www.toshin.com/examinee/detail.php?id=42,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%BA%AC%E9%83%BD%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=京都&univ_name=京都大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
6,京都大学,法,http://www.toshin-daigaku.com/detail_lecture.php?id=042,69,https://www.toshin.com/examinee/detail.php?id=42,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%BA%AC%E9%83%BD%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=京都&univ_name=京都大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
7,京都大学,総合人間/総合人間(文系),http://www.toshin-daigaku.com/detail_lecture.php?id=042,68,https://www.toshin.com/examinee/detail.php?id=42,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%BA%AC%E9%83%BD%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=京都&univ_name=京都大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
8,一橋大学,社会,http://www.toshin-daigaku.com/detail_lecture.php?id=026,68,https://www.toshin.com/examinee/detail.php?id=26,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%B8%80%E6%A9%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=一橋大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
9,東京藝術大学,美術/芸術,http://www.toshin-daigaku.com/detail_lecture.php?id=023,68,https://www.toshin.com/examinee/detail.php?id=23,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%B8%80%E6%A9%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=東京藝術大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
